"성별","연령계층별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"남자","20 - 29세",10.5,10.5,10.9,11.5,10.4,9.7,9.9,8.7,6.8,6.6,6.0
"여자","20 - 29세",7.6,7.6,8.8,8.4,8.6,8.2,8.1,6.7,6.0,5.2,5.6
